park,loop,station,code,latitude,longitude,near_phase_0,near_phase_1,near_phase_2,near_phase_3,near_phase_4
Seward Park,West Loop,4,SW4,47.5608,-122.2553,n,n,n,y,y
Seward Park,West Loop,5,SW5,47.5595,-122.2518,n,n,n,n,y
Seward Park,West Loop,6,SW6,47.5561,-122.2524,n,n,n,n,y
Seward Park,West Loop,7,SW7,47.5539,-122.2512,n,n,n,n,y
Seward Park,West Loop,8,SW8,47.5517,-122.2525,n,n,n,y,y
Magnuson Park,Wetland Loop,1,MWL1,47.678,-122.251,y,y,n,y,n
Magnuson Park,Wetland Loop,2,MWL2,47.6785,-122.2565,n,y,y,y,n
Magnuson Park,Wetland Loop,3,MWL3,47.6768,-122.2584,n,n,y,y,n
Magnuson Park,Wetland Loop,4,MWL4,47.6806,-122.2567,y,n,n,n,n
Discovery Park,Wolf Tree Nature Trail,1,DW1,47.6658,-122.41327,n,n,n,y,n
Discovery Park,Wolf Tree Nature Trail,2,DW2,47.66583,-122.41125,n,n,n,y,y
Discovery Park,Wolf Tree Nature Trail,3,DW3,47.66655,-122.41263,n,n,y,y,n
Discovery Park,Wolf Tree Nature Trail,4,DW4,47.66707,-122.4151,n,n,y,y,n
Discovery Park,Wolf Tree Nature Trail,5,DW5,47.66653,-122.41543,n,n,n,y,n
Discovery Park,Wolf Tree Nature Trail,6,DW6,47.66667,-122.41367,n,n,y,y,n
Discovery Park,Wolf Tree Nature Trail,7,DW7,47.66517,-122.41345,y,n,n,y,n
